Banglish,Bangla
Imo hd er mod dite parle diyen.,ইমো এইচডি এর মোড দিতে পারলে দিয়েন। 
Imo hd er mod version dite parben?,ইমো এইচডি এর মোড ভার্সন দিতে পারবেন?
imo hd te ad ase. Ar bare bare permission chai.,ইমো এইচডি তে এড আসে। আর বারে বারে পারমিশন চায়। 
Imo hoyna keno?,ইমো হয়না কেন?
Imo mod version download link den,ইমো মোড ভার্সন ডাউনলোড লিংক দেন
Imo packge name change hoiche imo beta install kore playstore dekhen try kore,ইমো প্যাকেজ নাম চেঞ্জ হইছে ইমো বেটা ইনস্টল করে প্লেস্টোরে দেখেন ট্রাই করে
"imo premium app ta crashed dakhay,open hoy na","ইমো প্রিমিয়াম অ্যাপ টা ক্রেশড দেখায়,ওপেন হয় না"
imo sms den.,ইমো এসএমএস দেন.
Imo tar server change korese company abar baniyechi but uplaoad kori nai,ইমো তার সার্ভার চেঞ্জ করেছে কোম্পানি আবার বানিয়েছি বাট আপ্লোড করি নাই
Imo te hobe kina jana nei,ইমো তে হবে কিনা জানা নেই
imo te problem ache manlam. WhatsApp a ki problem vai?,ইমো তে প্রব্লেম আছে মানলাম। হোয়াটস্যাপ এ কি প্রব্লেম ভাই?
imo te sms den amare.,ইমো তে এসএমএস দেন আমারে.
imo te sms koren 01773471227,ইমো তে এসএমএস করেন ০১৭৭৩৪৭১২২৭
imtiazblog.com website a proti post er jonno 10 – 50 taka deya hobe.,ইমতিয়াজব্লগ.কম ওয়েবসাইট এ প্রতি পোস্ট এর জন্য ১০ – ৫০ টাকা দেয়া হবে। 
In Sha Allah,ইন শা আল্লাহ
inbox a asen,ইনবক্স এ আসেন 
Inbox a asen solv dissi,ইনবক্স এ আসেন সল্ভ দিচ্ছি
Inbox a knock Dan solv dissi,ইনবক্স এ নক দেন সল্ভ দিচ্ছি
Inbox a knock din please vai,ইনবক্স এ নক দিন প্লিজ ভাই
Inbox koren,ইনবক্স করেন
Inbox koren. Fb te 5.1 try koren,ইনবক্স করেন. এফবি তে ৫.১ ট্রাই করেন
Income apps banate to post e dekhano jabe na,ইনকাম অ্যাপস বানাতে তো পোস্ট এ দেখানো যাবে না
income apps make trick dean,ইনকাম অ্যাপস মেক ট্রিক দিয়েন
Income korar kono Rasta nai vi.oy ta Jodi jar ten,ইনকাম করার কোনো রাস্তা নাই ভাই.ওই টা যদি জার তেন
India o bangladesh ki Ek?,ইন্ডিয়া ও বাংলাদেশ কি এক?
India server ase,ইন্ডিয়া সার্ভার আছে
Indonesian server asche?,ইন্দোনেশিয়ান সার্ভার আসছে?
Infinix Er Phn Gula Faltu,ইনফিনিক্স এর ফোন গুলা ফালতু
inistall directory fix file kotay,ইনিস্টল ডিরেক্টরি ফিক্স ফাইল কোথায়
Insallah,ইনশাল্লাহ
Insallah post kore dibo.,ইনসাল্লাহ পোস্ট করে দিবো। 
insha’Allah,ইনশাল্লাহ
Insha-Allah ^_^,ইনশা-আল্লাহ ^_^
inshahAllahhh,ইংশাআল্লাহ
Inshallah ajke.,ইনশাল্লাহ আজকে.
instaddr er theke better,ইনস্টেডর এর থেকে বেটার
install directory option khuthai pabo help plz,ইনস্টল ডিরেক্টরি অপসন কোথায় পাব হেল্প প্লিজ
install e hoy na,ইনস্টল ই হয় না
Install hoina,ইনস্টল হয়না
Install hoy na,ইনস্টল হয় না
install hoy na brooo,ইনস্টল হয় না ব্রো
install hoy na S7 edge a,ইনস্টল হয় না এস৭ এজ এ
"Install hoy na, ","ইনস্টল হয় না, "
"install hoy na, ","ইনস্টল হয় না, "
Install hoyna dada,ইনস্টল হয়না দাদা
Install hoyna.ki korbo vai,ইনস্টল হয়না.কি করবো ভাই
Install I to hot na,ইনস্টল ই তো হয় না
Install kora apps o hide kora jabe?,ইনস্টল করা অ্যাপস ও হাইড করা যাবে? 
Install korar age factory reset Mara lagbe,ইনস্টল করার আগে ফ্যাক্টরি রিসেট মারা লাগবে
install kore dakte hobe,ইনস্টল করে দেখতে হবে
Installe hoy na.faktu,ইনস্টল হয় না.ফালতু
Installed hoy na (galaxy j8),ইনস্টলড হয় না (গ্যালাক্সি জে৮)
Instantly disse to.ki dekasse Vai bolben ki,ইনস্টেন্টলি দিছে তো.কি দেখাচ্ছে ভাই বলবেন কি
"Interactive option e to ase na, sudhu duita options ase","ইন্টারেক্টিভ অপসন এ তো আসে না, শুধু দুইটা অপশনস আছে"
Internet connection lage na vai.,ইন্টারনেট কানেকশন লাগে না ভাই। 
Internet e search korlei apni full details dekte parben.,ইন্টারনেট এ সার্চ করলেই আপনি ফুল ডিটেলস দেখতে পারবেন। 
intro maker er vip unlock link plz?,ইন্ট্রো মেকার এর ভিআইপি আনলক লিংক প্লিজ?
invest krla.jabe,ইনভেস্ট করলা.যাবে
invideo account create niye post koren vai?,ইনভিডিও একাউন্ট ক্রিয়েট নিয়ে পোস্ট করেন ভাই?
invite korlam.,ইনভাইট করলাম.
Invite korsi but Notification ase na.,ইনভাইট করছি বাট নোটিফেইকশন আসে না.
Ip block korar byaparta bujhlam na.,আইপি ব্লক করার ব্যাপারটা বুঝলাম না। 
Ip calling app theke call korte obosshoi internet thakte hobe,আইপি কলিং অ্যাপ থেকে কল করতে অবশ্যই ইন্টারনেট থাকতে হবে 
ip er jonno kokhonoi block kore na.,আইপি এর জন্য কখনোই ব্লক করে না। 
Ip vpn kivebe use korbo bujtachina,আইপি ভিপিএন কিভাবে ইউজ করবো বুঝতাছিনা
IPhone er link tai den vai,আইফোনে এর লিংক তাই দেন ভাই
iPhone er mod version app gula koi pabo?,আইফোনে এর মোড ভার্সন অ্যাপ গুলা কই পাবো? 
ipl er jonno youtube e jotesto,আআইপিএল এর জন্য ইউটিউব ই যথেষ্ট 
iron mane amaro onk valo lage,আইরন মানে আমারও অনেক ভালো লাগে
Issa Moto dibn,ইচ্ছা মত দিবেন
It bari PSD to HTML course hoba?,ইট বাড়ি পিএসডি টু এইচটিএমএল কোর্স হবে?
Android All version e ata kaj hoi na .,এন্ড্রোইড অল ভার্সন এ এটা কাজ হয় না । 
itel A48 a ki OTG support kore ?,আইটেল এ৪৮ এ কি ওটিজি সাপোর্ট করে ?
Itel S15 Pro ki Root Kora Possible?,আইটেল এস১৫ প্রো কি রুট করা পসিবল?
Itel Temn Valo brand are na,আইটেল তেমন ভালো ব্র্যান্ড আরে না
itel vison 1pro te hbe?,আইটেল ভীষণ ১প্র তে হবে?
item not found ki post disen ha?,আইটেম নট ফাউন্ড কি পোস্ট দিছেন হ্যাঁ?
j kono vpn die use kora jabena ?,যে কোনো ভিপিএন দিয়ে ইউজ করা যাবেনা ?
J link decen tate download to korte parlam e na,যে লিংক দিছেন তাতে ডাউনলোড তো করতে পারলাম ই না
J2 hole root kora rom ta pc diye flash korte hobe,জে২ হলে রুট করা রম টা পিসি দিয়ে ফ্ল্যাশ করতে হবে. 
j2 pro ta hoi na kan?,জে২ প্রো তে হয় না কেন? 
j2 root hobe.?,জে২ রুট হবে.?
j6+ e hobe?,জে৬ + হবে?
Ja hoy are ki vai,যা হয় আর কি ভাই
ja suru korcen vai?,যা শুরু করছেন ভাই?
"jaba,satar jonno onno app use korta hoy","যাবে,সেটার জন্য অন্য অ্যাপ ইউজ করতে হয়"
Jabe,যাবে
Jabe but fb te nion vai i to sobike mail kore link dew,যাবে বাট এফবি তে নিওন ভাই ই তো সবাইকে মেইল করে লিংক দেয়
jabe kintu pore account off hoye jabe,যাবে কিন্তু পরে একাউন্ট অফ হয়ে যাবে
Jabena,যাবেনা
jader kaj krtece na tader k amr ager cmnt ta janiye din .sobar upokar hobe.,যাদের কাজ করতেছে না তাদের কে আমার আগের কমেন্ট টা জানিয়ে দিন .সবার উপকার হবে। 
Jader root nai,যাদের রুট নাই 
Jahid Hasan,জাহিদ হাসান
Jai vpn a Bangladesh server ase oi vpn gula nea pls kew 1ta post koren,যাই ভিপিএন এ বাংলাদেশ সার্ভার আছে ওই ভিপিএন গুলা নিয়া প্লিজ কেউ ১টা পোস্ট করেন
Jajakallah,জাজাকাল্লাহ
jak copy holeo amar siter url ache,যাক কপি হলেও আমার সাইটের ইউআরএল আছে 
jak obosese trickbd aro akjon vhalo author pelo,যাক অবশেষে ট্রিকবিডি আরো একজন ভাল অথর পেল
Jana ase,জানা আছে
Jana nai,জানা নাই
Jana nai bro.ase ki na,জানা নাই ব্রো.আছে কি না
Jana nai vai .,জানা নাই ভাই । 
Janananor jonno tnx,জানানোর জন্য থাঙ্কস
Janen toh trickbd te ki koren,জানেন তো ট্রিকবিডি তে কি করেন
Jani,জানি
Jani Bro~ ~Nice,জানি ব্রো~ ~নাইস
Jani Bt Gd,জানি বাট গুড
Jani but nice post,জানি বাট নাইস পোস্ট
jani na kano erokom hoccheeee,জানি না কেন এরকম হচ্ছে
Jani na ke banaise,জানি না কে বানাইছে 
Jani tobuo donnobad,জানি তবুও ধন্যবাদ
jani vai tao ami cai ja pabo sibai mile vag kore khabo tai share korchi,জানি ভাই তাও আমি চাই যা পাবো সবাই মিলে ভাগ করে খাবো তাই শেয়ার করছি
"Jani, Tobuo Tnx","জানি, তবুও থাঙ্কস"
Jani,জানি
jani.vi,জানি. ভাই
janitobuo thanks,জানিতবুও থাঙ্কস
Janle valo vai,জানলে ভালো ভাই
jaoyar porei post charai author kore dile ami jete pari,যাওয়ার পরেই পোস্ট ছাড়াই অথর করে দিলে আমি যেতে পারি
jar issa vai,যার ইচ্ছা ভাই
jar jei ta valo lage oii ta ei use koran,যার যেই টা ভালো লাগে ঐ টা ই ইউজ করেন
Jar jeta valo lagbe se seta kinba,যার যেটা ভালো লাগবে সে সেটা কিনবা 
jara age thake app use kore tara register korle ke bonus deba?,যারা আগে থেকে অ্যাপ ইউজ করে তারা রেজিস্টার করলে কি বোনাস দিবে?
Jara bonus nitey parsen na tara aita use koren.,যারা বোনাস নিতে পারছেন না তারা এইটা ইউজ করেন। 
"Jara download karte parennai,nicher link ta use koren","যারা ডাউনলোড করতে পারেননাই,নিচের লিংক টা ইউজ করেন "
jara er age 11tk cashback niche tara o ki pabe?,যারা এর আগে ১১টাকা ক্যাশব্যাক নিছে তারা ও কি পাবে?
Jara jane na tader jonno,যারা জানে না তাদের জন্য 
jara jane na tader kaje asbe,যারা জানে না তাদের কাজে আসবে
Jara jane na tara post dekhe KORBE thanks,যারা জানে না তারা পোস্ট দেখে করবে থাঙ্কস
jara jara ek phone 2 account korche tader ip ben.,যারা যারা এক ফোন ২ একাউন্ট করছে তাদের আইপি ব্যান.
Jara new account kortece sudu tarai pabe,যারা নিউ একাউন্ট করতেছে শুধু তারাই পাবে
Jara Nogod new Account kule 25 takar sate aro 20 taka total 45 tk nite can tara plzz contuct me,যারা নগদ নিউ একাউন্ট খুলে ২৫ টাকার সাথে আরো ২০ টাকা টোটাল ৪৫ টাকা নিতে চান তারা প্লিজ কন্টাক্ট মি
java phn a use korar jonno eirokom fre sms er kono website keu dite paraben ?,জাভা ফোন এ ইউজ করার জন্য এইরকম ফ্রি এসএমএস এর কোনো ওয়েবসাইট কেউ দিতে পারবেন ?
Java phn dye wordpres e theem upload,জাভা ফোন দিয়ে ওয়ার্ডপ্রেস এ থীম আপলোড
Java Scret A Keno Bkash Apps Post Dewa Hocse,জাভা স্ক্রেট এ কেনো বিকাশ অ্যাপস পোস্ট দেয়া হচ্ছে 
Jay na to rejected lekha ase.,যায় না তো রিজেক্টেড লেখা আসে.
Jazakallah vai,জাজাকাল্লাহ ভাই
Je account tir refer kortasen seta dia recharge korben.,যে একাউন্ট টির রেফার করতেছেন সেটা দিয়ে রিচার্জ করবেন। 
Je kew selfi dilei hobe.somosha nei,যে কেউ সেলফি দিলেই হবে। সমস্যা নেই
je khane sobar hajare cash out charge kate 17.15 taka se khane apnar ki 15 Taka charge kate ta amar mathay dhukteche na,যে খানে সবার হাজারে ক্যাশ আউট চার্জ কাটে ১৭.১৫ টাকা সে খানে আপনার কি ১৫ টাকা চার্জ কাটে তা আমার মাথায় ঢুকতেছে না
je kono mobile hobe.abar soft breek khabe nato?,যে কোনো মোবাইল হবে.আবার সফ্ট ব্রীক খাবে নাতো?
Je kono sim er social pack chole,যে কোনো সিম এর সোশ্যাল প্যাক চলে
je kono tai,যে কোনো টাই
Je Kono type er app make kore neyar jnno contact korte paren.,যে কোনো টাইপ এর অ্যাপ মেক করে নেয়ার জন্য কন্টাক্ট করতে পারেন। 
Je kunu number e,যে কোন নম্বর এ
je namber e khulbo sei namber e dibe vaiya?,যে নাম্বার এ খুলবো সেই নাম্বার এ দিবে ভাইয়া? 
je sim a bkash ase sei sim er mb diye dhoken hobe.,যে সিম এ বিকাশ আছে সেই সিম এর এম্বি দিয়ে ঢোকেন হবে। 
je sim a set korben sei sim a sms thakte hobe,যে সিম এ সেট করবেন সেই সিম এ এসএমএস থাকতে হবে
je youtube videor link diyechen seta ki apnar channel ar?,যে ইউটিউব ভিডিওর লিংক দিয়েছেন সেটা কি আপনার চ্যানেল এর?
jee,জি
"Jee obossoi,","জি অবশ্যই,"
jee parben,জি পারবেন
"Jee thik bolsen,","জি ঠিক বলছেন,"
jei proxy use korechen oitar speed e paben/,যেই প্রক্সি ইউজ করেছেন ঐটার স্পিড ই পাবেন/
Jei server e connect kori na ken just usa ip asetaratre autar solution dan,যেই সার্ভার এ কানেক্ট করি না কেন জাস্ট ইউ এস এ আইপি ই আসেতাড়াতাড়ি অথর সল্যুশন দেন
Jekane sudu matro apner access thakbe,যেখানে শুধু মাত্র আপনার এক্সেস থাকবে
Jekono,যেকোনো
Jekono net e cholbe but speed valo hole streaming valo hobe,যেকোনো নেট এ চলবে বাট স্পিড ভালো হলে স্ট্রিমিং ভালো হবে 
Jekono player jetate playlist support Kore seta dia play hobe,যেকোনো প্লেয়ার যেটাতে প্লেলিস্ট সাপোর্ট করে সেটা দিয়ে প্লে হবে
jemon?,যেমন?
Konta sound basi sundor ?,কোনটা সাউন্ড বেশি সুন্দর ?
jevabe root phn a use kren,যেভাবে রুট ফোন এ ইউজ করেন
Jhakkas post,ঝাক্কাস পোস্ট
Jhankar Mahbub book poren poren bhalo kore poren parla programming o koren,ঝংকার মাহবুব বুক পড়েন পড়েন ভালো করে পড়েন পারলে প্রোগ্রামিং ও করেন
Jhanlam notun kichu.,জানলাম নতুন কিছু। 
Ji bai apni ei app diye free kotha bolte parben apnr jodi amber it er line thake,জি ভাই আপনি এই অ্যাপ দিয়ে ফ্রি কথা বলতে পারবেন আপনার যদি এম্বার আইটি এর লাইন থাকে
"ji bai osadaron hoice but full detailes janty parlam na,r eta ki bd te sob jaygatei powa jabe?","জি ভাই অসাধারণ হইছে বাট ফুল ডিটেইলস জানতে পারলাম না,আর এটা কি বিডি তে সব জায়গাতেই পাওয়া যাবে?"
Ji battery ta kharap diyeche.Walton company ei phone er battery update kora ucit.,জি ব্যাটারী টা খারাপ দিয়েছে।ওয়াল্টন কোম্পানি এই ফোন এর ব্যাটারী আপডেট করা উচিত।
Ji bolen.?,জি বলেন.?
ji facebook e te inbox koran,জি ফেইসবুক এ তে ইনবক্স করেন
Ji inshallah.,জি ইনশাল্লাহ। 
Ji koresi,জি করেছি
1971 a apnr jonmo hoice toh naki jotoshob,১৯৭১ এ আপনার জন্ম হইছে তো নাকি যতোসব
ai site a aro valo idcard banano jay,এই সাইট এ আরো ভালো আইডিকার্ড বানানো যায়
ami easy method ta share korlam,আমি সহজ পদ্ধতিটা শেয়ার করলাম
etto taratari kamne shob gula used hoygelo bujlam na vai,এত তাড়াতাড়ি কেমনে সব গুলা ইউজড হয়ে গেলো বুঝলাম না ভাই
khub sundor post vaiya,খুব সুন্দর পোস্ট ভাইয়া 
last duita comment dhut trickbd te react option nai,লাস্ট দুইটা কমেন্ট ধুত ট্রিকবিডি তে রিয়েক্ট অপশন নাই 
mane ki?,মানে কি? 
o gula Torrent site e paben.,ও গুলা টোরেন্ট সাইট এ পাবেন.
old post e kibhave play point kaj kore shob ache.,পুরানো পোস্ট এ কিভাবে প্লে পয়েন্ট কাজ করে সব আছে.
scrool kore 20/30 second er video pann nai?,স্ক্রোল করে ২০ /৩০ সেকেন্ড এর ভিডিও পাননাই?
seriously? kar post.,সিরিয়াসলি? কার পোস্ট.
Sotti vai hasailen.,সত্যি ভাই হাসাইলেন।
taile bro apni old version use koren,তাইলে ব্রো আপনি ওল্ড ভার্সন ব্যবহার করেন
Thanks Vaiya,থ্যাংকস ভাইয়া 
valo kore trai koren paben.,ভালো করে ট্রাই করেন পাবেন.
vokkor chokkor post akta korlei approved. nishchoi ghabla ache,ভক্কর চক্কর পোস্ট একটা করলেই এপ্রুভড। নিশ্চয় ঘাবলা আছে 
Ace msg daw boltesi,আছে মেসেজ দাও বলতেছি 
akak inbox koren fb te,একক ইনবক্স করেন এফবি তে 
Inbox kore rakhhen khuje Pele insallah dibo,ইনবক্স করে রাখেন খুঁজে পেলে ইনসাআল্লাহ দিবো 
Trickbd te app ta niye post ace,ট্রিকবিডি তে অ্যাপটা নিয়ে পোস্ট আছে 
Vai amke ei Gmail e ektu share kore diben?,ভাই আমাকে এই জিমেইল এ একটু শেয়ার করে দিবেন ?
"1 credit a koto minite kotha bola jabe vai, ","১ ক্রেডিট এ কত মিনিট কথা বলা যাবে ভাই, "
1 mb 3g ty ki apni jibon o pan nai,১ এমবি ৩জি টায় কি আপনি জীবন ও পান নাই 
1 min E Koto Credit Lage ?,১ মিন এ কত ক্রেডিট লাগে ? 
1 number ta version 1.5.5,১ নাম্বার টা ভার্সন ১.৫.৫ 
1 second a hoyto win hote parben na 0 second a korar try koren,১ সেকেন্ড এ হয়তো উইন হতে পারবেন না ০ সেকেন্ড এ করার ট্রাই করেন 
1 second e korsi,১ সেকেন্ড এ করছি
1 st 3 gb dekhay but 1 gb dey,১ স্ট ৩ জিবি দেখায় বাট ১ জিবি দেয় 
1 ta Skype account a 1200 min paisen?,১ টা স্কাইপ অ্যাকাউন্ট এ ১২০০ মিন পাইছেন? 
"1,2,4 no ta try kore dekhte paren Amar version 8+","১,২,৪ নং টা ট্রাই করে দেখতে পারেন আমার ভার্সন ৮+ "
1.32.6 no verification jhamela,১.৩২.৬ নং ভেরিফিকেশন ঝামেলা 
1.5 year age theke brave user,১.৫ ইয়ার আগে থেকে ব্রেভ ইউজার 
10 minite link off korechi bap re bap amar mail vore gece,১০ মিনিট লিঙ্ক অফ করেছি বাপ রে বাপ আমার মেইল ভরে গেছে 
10 minute dhore chesta kortesi. Taw Link kaj kortese na. Apni ki chan Report kori? Mejaj tai kharap.,১০ মিনিট ধরে চেষ্টা করতেছি. তাও লিংক কাজ করতেছে না। আপনি কি চান রিপোর্ট করি? মেজাজ টাই খারাপ। 
10 month ager post vai,১০ মান্থ আগের পোস্ট ভাই 
10 second wait korar por address tai download korte gala ai lakha ta ase,১০ সেকেন্ড ওয়েট করার পর এড্রেস টায় ডাউনলোড করতে গেলে এই লেখা টা আসে 
১০০ credit diye kinle 1 year meyad,১০০ ক্রেডিট দিয়ে কিনলে ১ ইয়ার মেয়াদ 
100 diamond koto tk? Apnar kase?,১০০ ডায়মন্ড কত টাকা ? আপনার কাছে ?
100% ami nije use kore boltachi,১০০% আমি নিজে ইউজ করে বলতাছি 
100% kaj korbe,১০০% কাজ করবে 
100% kaj kore,১০০% কাজ করে
100% paypal verified nia ekta post dien,১০০% পেপাল ভেরিফাইড নিয়ে একটা পোস্ট দিয়েন 
100% real apps ata hack hobe na,১০০% রিয়েল অ্যাপস এটা হ্যাক হবে নাহ
100% working post,১০০% ওয়ার্কিং পোস্ট 
100% working,১০০% ওয়ার্কিং
100% working.thanks,১০০% ওয়ার্কিং।থ্যাংকস 
1000 taka joma dewya dewya lagbe,১০০০ টাকা জমা দেওয়া দেওয়া লাগবে
1000 taka kothay joma dibo,১০০০ টাকা কোথায় জমা দিবো
1000 tk ki pabo na aro kom pabo,১০০০ টাকা কি পাবো না আরো কম পাবো 
1000% Chor,১০০০% চোর
100000% taka mare dibe,১০০০০০% টাকা মারে দিবে 
1000000000000% kaj hoy,১০০০০০০০০০০০০% কাজ হয়
100000000000000% id udao hoye jabe,১০০০০০০০০০০০০০০% আইডি উধাও হয়ে যাবে 
1000credit dia Bangladeshi nmbr e koy minutes kotha bola jabe,১০০০ ক্রেডিট দিয়ে বাংলাদেশি নাম্বার এ কয় মিনিট কথা বলা যাবে 
1000ta number hole 6000 minutes,১০০০ নাম্বার হলে ৬০০০ মিনিটস 
1000tk moto nici,১০০০টাকা মত নিছি 
1000tk payment korle 100% cash back pabo,১০০০টাকা পেমেন্ট করলে ১০০% ক্যাশ ব্যাক পাবো 
100MB file Komate 10min Laglo,১০০এমবি ফাইল কমাতে ১০মিন লাগলো 
100tk dise klk log in + registration milaia,১০০টাকা দিছে কালকে লগ ইন + রেজিস্ট্রেশন মিলাইয়া 
10-13 second. Lagsilo,১০-১৩ সেকেন্ড। লাগছিল 
১১k বাজেটে ৬k battery paua jabe,১১কে বাজেটে ৬কে ব্যাটারি পাওয়া যাবে 
12 din age e 50 tk recharge dichi.akhon o pai nei,১২ দিন আগে ই ৫০ টাকা রিচার্জ দিছি.এখন ও পাই নাই 
12 din holo,১২ দিন হলো 
12 takai only mb dey,১২ টাকায় অনলি এমবি দেয় 
karo lagle Contact koren,কারো লাগলে কন্টাক্ট করেন
12990 Takay realme 5i,১২৯৯০ টাকায় রিয়েলমি ৫আই 
13999 tk te Mediatek chipset er phone kena bokami,13999 টাকা তে মিডিয়াটেক চিপসেট এর ফোন কেনা বোকামি
14.5.4 beta phase a ase akhono release hoy nai,১৪.৫.৪ বেটা ফেজ এ আছে এখনো রিলিজ হয় নাই
140000 ar kachakachi,১৪০০০০ এর কাছাকাছি 
15 diner moto lagclo,১৫ দিনের মত লাগছিলো 
15k budget a 635 moteo jay na,১৫কে বাজেট এ ৬৩৫ মোটেও যায় না
15k diya 1.5 quad core processor kinbo kon gadha,১৫কে দিয়া কোয়াড কোর প্রসেসর কিনব কোন গাধা 
15k er moddhe mi bander valo phone hobe?,১৫কে এর মধ্যে এমআই ব্যান্ডের ভালো ফোন হবে? 
16216 a call diye bolen somossha,১৬২১৬ এ কল দিয়ে বলেন সমস্যা
17 recharge korle to mb dibe tahle cash back nia korbo,১৭ রিচার্জ করলে তো এমবি দিবে তাহলে ক্যাশ ব্যাক নিয়ে করবো
"1bar paici, maximum kotobar paoa jbe","১বার পাইছি, ম্যাক্সিমাম কতবার পাওয়া যাবে"
"1dm dia grab korlei hoy brother,ato kisu lage na","১ ডিএম দিয়া গ্রেপ করলেই হয় ভাই,এত কিছু লাগে না "
1gb lolipop er jonno hobe na,১ জিবি ললিপপ এর জন্য হবে না 
1gb ram hole support korbe,১জিবি র‍্যাম হলে সাপোর্ট করবে
1GB Ram’r mobile diye ki korbo?,১জিবি র‍্যাম এর মোবাইল দিয়ে কি করবো? 
1k koto kore diben,১কে কত করে দিবেন 
1mb use korle 1gb hoiye jay,১এমবি ইউজ করলে ১জিবি হইয়া যায়
1mbps e problem korbe,১এমবিপিএস এ প্রবলেম করবে
1st Tay kinben sudu,১স্ট টায় কিনবেন শুধু 
prothomoto ata lekha lekhir jaiga na,প্রথমত এটা লেখা লেখির জায়গা না 
shot mile nah,সট মিলে নাহ 
1st trick ta valoi,১স্ট ট্রিক টা ভালোই
2 bar kaj hoiche ekhon ar hoy na,২ বার কাজ হইছে এখন আর হয় না 
2 din por payment update caibe,২দিন পর পেমেন্ট আপডেট চাইবে 
2 ghontau account thakbe na bann hoye zabe.faltu,২ ঘন্টাও একাউন্ট থাকবে না ব্যান হয়ে যাবে।ফালতু
2 headphone e 2 gaan chaliye kon pago e shunbe?,২ হেডফোন এ ২ গান চালিয়ে কোন পাগোল এ শুনবে?
2 minute ar account block kore dice.post delete kore din,২ মিনিট এর একাউন্ট ব্লক করে দিছে.পোস্ট ডিলিট করে দিন
"2 nmbr phone hoile,kisu na korle o nosto hobe","২ নম্বর ফোন হইলে,কিছু না করলে ও নষ্ট হবে"
2 number apps try koren,২ নাম্বার অ্যাপস ট্রাই করেন 
2 phn ai ki wifi er real speed pawa jabe.?,২ ফোন এই কি ওয়াইফাই এর রিয়েল স্পিড পাওয়া যাবে.? 
vai ami apna k opoman kori nai,ভাই আমি আপনাকে অপমান করি নাই 
2/3 MB besi hobe,২/৩ এমবি বেশি হবে 
2/4 month agai korci,২/৪ মান্থ আগেই করছি 
phone kharap hole onno browser o cholto na,ফোন খারাপ হলে অন্য ব্রাউজার ও চলতো না
20 tk ki register korlei asbe?,২০ টাকা কি রেজিস্টার করলেই আসবে? 
20 tk recharge hobe 100%,২০ টাকা রিচার্জ হবে ১০০%
2020 e eseo eirokom unsmart post dekhte hocche,২০২০ এ এসেও এইরকম আনস্মার্ট পোস্ট দেখতে হচ্ছে
20tar besi hoi na,২০টার বেশি হয় না
22mb eta,২২এমবি এটা 
2-3 mb to emnei uthe 5 mb thbe ki?,২-৩ এমবি তো এমনেই উঠে ৫ এমবি থাকবে কি? 
24 gonta holo akhono palam na,২৪ ঘণ্টা হল এখনও পেলাম না 
24 hour por naki date change hole?,২৪ আওয়ার পর নাকি ডেট চেঞ্জ হলে?
2-4 minute wait koren,২-৪ মিনিট ওয়েট করেন 
24000 price aro valo phone pawa jai,২৪০০০ প্রাইজ আরও ভালো ফোন পাওয়া যায় 
25 MB limit. er upore pathano jaay na,২৫ এমবি লিমিট. এর উপরে পাঠানো যায় না 
25 tk er jonno eto kosto!,২৫ টাকা এর জন্য এত কষ্ট! 
25 tk mobile recharge koren aro 50 tk dibe,২৫ টাকা মোবাইল রিচার্জ করেন আরও ৫০ টাকা দিবে 
25+1 usd manea ki?,২৫+১ ইউএসডি মানে কি? 
250 eerr oita try korci mb failed dekhasse,২৫০ এর ওইটা ট্রাই করছি এমবি ফেইলড দেখাচ্ছে 
250 mb load dilam oparator fail aslo,২৫০ এমবি লোড দিলাম অপারেটর ফেইল আসলো 
2bar paoya hoya gasa,২বার পাওয়া হয়ে গেছে 
2gb a vmos to cholbe,২জিবি এ ভিমস তো চলবে 
2nd app ta kothay?,২ন্ড অ্যাপটা কোথায়? 
2nd font er mega decryption key den,২ন্ড ফন্ট এর মেগা ডিক্রিপশন কি দেন 
2nd line cara r kon app ase,২ন্ড লাইন ছাড়া আর কোন অ্যাপ আছে 
2nd Line or Text Plus app use korun,২ন্ড লাইন অর টেক্সট প্লাস অ্যাপ ইউজ করেন 
2nd line or textnow app use kore American number generate kore kora jai,২ন্ড লাইন অথবা টেক্সটনাও অ্যাপ ইউজ করে আমেরিকান নাম্বার জেনারেট করে করা যায় 
"2nd line,text now ai app number lagbe","২ন্ড লাইন,টেক্সট নাও এই অ্যাপ নাম্বার লাগবে"
2nd rom black screen ase,২ন্ড রোম ব্ল্যাক স্ক্রিন আছে 
2nd space background কালো হয়ে যায়,২ন্ড স্পেস ব্যাকগ্রাউন্ড কালো হয়ে যায়
2nd ta ekdom hbe na ami sure,২ন্ড টা একদম হবে না আমি সিউর 
2nd ta mane,২ন্ড টা মানে
2nr dia account kora jabe ki?,২ন্ড দিয়া একাউন্ট করা যাবে কি?
2ta dese,২টা দেশে
2ta post e kivabe auther holen?,২টা পোস্ট এ কিভাবে অথর হলেন?
2ta post ase ei app niye,২টা পোস্ট আছে এই অ্যাপ নিয়ে 
2ta topic ke mix kore joga khicori na baniye 2ta alada alada post koren,২টা টপিক কে মিক্স করে জগা খিচুড়ি না বানিয়ে ২টা আলাদা আলাদা পোস্ট করেন
2tai khelte parben,২টাই খেলতে পারবেন 
2tir besi baktigoto link share kora nished,২টার বেশি বাক্তিগত লিঙ্ক শেয়ার করা নিষেদ 
3 !? Seriously? Believe kora kosto,৩ !? সিরিয়াসলি? বিলিভ করা কষ্ট
